"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS3"
3764;230412;6717916;196901;0,948
3764;230412;6717916;196902;1,073
3764;230412;6717916;196903;1,154
3764;230412;6717916;196904;1,051
3764;230412;6717916;196905;0,916
3764;230412;6717916;196906;0,701
3764;230412;6717916;196907;0,504
3764;230412;6717916;196908;0,341
3764;230412;6717916;196909;0,268
3764;230412;6717916;196910;0,266
3764;230412;6717916;196911;0,39
3764;230412;6717916;196912;0,596
3764;230412;6717916;197001;0,894
3764;230412;6717916;197002;1,116
3764;230412;6717916;197003;1,149
3764;230412;6717916;197004;1,042
3764;230412;6717916;197005;0,792
3764;230412;6717916;197006;0,547
3764;230412;6717916;197007;0,376
3764;230412;6717916;197008;0,322
3764;230412;6717916;197009;0,351
3764;230412;6717916;197010;0,38
3764;230412;6717916;197011;0,442
3764;230412;6717916;197012;0,571
3764;230412;6717916;197101;0,738
3764;230412;6717916;197102;0,946
3764;230412;6717916;197103;1,036
3764;230412;6717916;197104;1,012
3764;230412;6717916;197105;0,818
3764;230412;6717916;197106;0,608
3764;230412;6717916;197107;0,415
3764;230412;6717916;197108;0,325
3764;230412;6717916;197109;0,271
3764;230412;6717916;197110;0,27
3764;230412;6717916;197111;0,27
3764;230412;6717916;197112;0,367
3764;230412;6717916;197201;0,523
3764;230412;6717916;197202;0,794
3764;230412;6717916;197203;0,997
3764;230412;6717916;197204;1,038
3764;230412;6717916;197205;0,885
3764;230412;6717916;197206;0,67
3764;230412;6717916;197207;0,49
3764;230412;6717916;197208;0,354
3764;230412;6717916;197209;0,277
3764;230412;6717916;197210;0,283
3764;230412;6717916;197211;0,45
3764;230412;6717916;197212;0,723
3764;230412;6717916;197301;0,978
3764;230412;6717916;197302;1,082
3764;230412;6717916;197303;1,01
3764;230412;6717916;197304;0,844
3764;230412;6717916;197305;0,678
3764;230412;6717916;197306;0,511
3764;230412;6717916;197307;0,43
3764;230412;6717916;197308;0,321
3764;230412;6717916;197309;0,294
3764;230412;6717916;197310;0,338
3764;230412;6717916;197311;0,414
3764;230412;6717916;197312;0,543
3764;230412;6717916;197401;0,701
3764;230412;6717916;197402;0,962
3764;230412;6717916;197403;1,123
3764;230412;6717916;197404;1,12
3764;230412;6717916;197405;0,914
3764;230412;6717916;197406;0,638
3764;230412;6717916;197407;0,415
3764;230412;6717916;197408;0,281
3764;230412;6717916;197409;0,33
3764;230412;6717916;197410;0,451
3764;230412;6717916;197411;0,691
3764;230412;6717916;197412;0,903
3764;230412;6717916;197501;1,068
3764;230412;6717916;197502;1,137
3764;230412;6717916;197503;1,115
3764;230412;6717916;197504;1,062
3764;230412;6717916;197505;0,905
3764;230412;6717916;197506;0,679
3764;230412;6717916;197507;0,443
3764;230412;6717916;197508;0,319
3764;230412;6717916;197509;0,346
3764;230412;6717916;197510;0,511
3764;230412;6717916;197511;0,724
3764;230412;6717916;197512;0,944
3764;230412;6717916;197601;1,015
3764;230412;6717916;197602;1,043
3764;230412;6717916;197603;0,991
3764;230412;6717916;197604;0,893
3764;230412;6717916;197605;0,659
3764;230412;6717916;197606;0,421
3764;230412;6717916;197607;0,283
3764;230412;6717916;197608;0,239
3764;230412;6717916;197609;0,281
3764;230412;6717916;197610;0,483
3764;230412;6717916;197611;0,821
3764;230412;6717916;197612;1,135
3764;230412;6717916;197701;1,243
3764;230412;6717916;197702;1,267
3764;230412;6717916;197703;1,203
3764;230412;6717916;197704;1,111
3764;230412;6717916;197705;0,904
3764;230412;6717916;197706;0,707
3764;230412;6717916;197707;0,503
3764;230412;6717916;197708;0,366
3764;230412;6717916;197709;0,281
3764;230412;6717916;197710;0,301
3764;230412;6717916;197711;0,389
3764;230412;6717916;197712;0,575
3764;230412;6717916;197801;0,827
3764;230412;6717916;197802;1,094
3764;230412;6717916;197803;1,207
3764;230412;6717916;197804;1,144
3764;230412;6717916;197805;0,916
3764;230412;6717916;197806;0,631
3764;230412;6717916;197807;0,413
3764;230412;6717916;197808;0,348
3764;230412;6717916;197809;0,326
3764;230412;6717916;197810;0,302
3764;230412;6717916;197811;0,224
3764;230412;6717916;197812;0,377
3764;230412;6717916;197901;0,722
3764;230412;6717916;197902;1,103
3764;230412;6717916;197903;1,237
3764;230412;6717916;197904;1,159
3764;230412;6717916;197905;0,954
3764;230412;6717916;197906;0,761
3764;230412;6717916;197907;0,522
3764;230412;6717916;197908;0,357
3764;230412;6717916;197909;0,249
3764;230412;6717916;197910;0,259
3764;230412;6717916;197911;0,372
3764;230412;6717916;197912;0,598
3764;230412;6717916;198001;0,918
3764;230412;6717916;198002;1,12
3764;230412;6717916;198003;1,181
3764;230412;6717916;198004;1,042
3764;230412;6717916;198005;0,819
3764;230412;6717916;198006;0,615
3764;230412;6717916;198007;0,505
3764;230412;6717916;198008;0,437
3764;230412;6717916;198009;0,371
3764;230412;6717916;198010;0,342
3764;230412;6717916;198011;0,472
3764;230412;6717916;198012;0,68
3764;230412;6717916;198101;0,879
3764;230412;6717916;198102;0,976
3764;230412;6717916;198103;1,058
3764;230412;6717916;198104;1,029
3764;230412;6717916;198105;1,023
3764;230412;6717916;198106;0,926
3764;230412;6717916;198107;0,753
3764;230412;6717916;198108;0,522
3764;230412;6717916;198109;0,379
3764;230412;6717916;198110;0,615
3764;230412;6717916;198111;0,882
3764;230412;6717916;198112;1,174
3764;230412;6717916;198201;1,275
3764;230412;6717916;198202;1,299
3764;230412;6717916;198203;1,25
3764;230412;6717916;198204;1,021
3764;230412;6717916;198205;0,792
3764;230412;6717916;198206;0,523
3764;230412;6717916;198207;0,357
3764;230412;6717916;198208;0,281
3764;230412;6717916;198209;0,254
3764;230412;6717916;198210;0,5
