"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS3"
9750;609427;6155320;198207;0,591
9750;609427;6155320;198208;0,458
9750;609427;6155320;198209;0,46
9750;609427;6155320;198210;0,539
9750;609427;6155320;198211;0,746
9750;609427;6155320;198212;0,944
9750;609427;6155320;198301;1,108
9750;609427;6155320;198302;1,085
9750;609427;6155320;198303;1,032
9750;609427;6155320;198304;1,011
9750;609427;6155320;198305;0,982
9750;609427;6155320;198306;0,798
9750;609427;6155320;198307;0,562
9750;609427;6155320;198308;0,379
9750;609427;6155320;198309;0,315
9750;609427;6155320;198310;0,323
9750;609427;6155320;198311;0,453
9750;609427;6155320;198312;0,653
9750;609427;6155320;198401;0,929
9750;609427;6155320;198402;1,065
9750;609427;6155320;198403;1,155
9750;609427;6155320;198404;1,181
9750;609427;6155320;198405;1,209
9750;609427;6155320;198406;1,148
9750;609427;6155320;198407;0,87
9750;609427;6155320;198408;0,57
9750;609427;6155320;198409;0,36
9750;609427;6155320;198410;0,438
9750;609427;6155320;198411;0,679
9750;609427;6155320;198412;0,938
9750;609427;6155320;198501;1,086
9750;609427;6155320;198502;1,098
9750;609427;6155320;198503;1,105
9750;609427;6155320;198504;1,1
9750;609427;6155320;198505;1,156
9750;609427;6155320;198506;1,038
9750;609427;6155320;198507;0,86
9750;609427;6155320;198508;0,574
9750;609427;6155320;198509;0,381
9750;609427;6155320;198510;0,294
9750;609427;6155320;198511;0,345
9750;609427;6155320;198512;0,485
9750;609427;6155320;198601;0,657
9750;609427;6155320;198602;0,771
9750;609427;6155320;198603;0,958
9750;609427;6155320;198604;1,101
9750;609427;6155320;198605;1,107
9750;609427;6155320;198606;0,894
9750;609427;6155320;198607;0,584
9750;609427;6155320;198608;0,364
9750;609427;6155320;198609;0,308
9750;609427;6155320;198610;0,465
9750;609427;6155320;198611;0,6
9750;609427;6155320;198612;0,696
9750;609427;6155320;198701;0,717
9750;609427;6155320;198702;0,862
9750;609427;6155320;198703;0,996
9750;609427;6155320;198704;1,135
9750;609427;6155320;198705;1,039
9750;609427;6155320;198706;0,854
9750;609427;6155320;198707;0,613
9750;609427;6155320;198708;0,473
9750;609427;6155320;198709;0,46
9750;609427;6155320;198710;0,623
9750;609427;6155320;198711;0,822
