"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS3"
4007;238276;6701864;196901;0,972
4007;238276;6701864;196902;1,092
4007;238276;6701864;196903;1,164
4007;238276;6701864;196904;1,054
4007;238276;6701864;196905;0,915
4007;238276;6701864;196906;0,698
4007;238276;6701864;196907;0,501
4007;238276;6701864;196908;0,34
4007;238276;6701864;196909;0,269
4007;238276;6701864;196910;0,268
4007;238276;6701864;196911;0,397
4007;238276;6701864;196912;0,612
4007;238276;6701864;197001;0,917
4007;238276;6701864;197002;1,136
4007;238276;6701864;197003;1,159
4007;238276;6701864;197004;1,047
4007;238276;6701864;197005;0,792
4007;238276;6701864;197006;0,546
4007;238276;6701864;197007;0,374
4007;238276;6701864;197008;0,324
4007;238276;6701864;197009;0,354
4007;238276;6701864;197010;0,384
4007;238276;6701864;197011;0,448
4007;238276;6701864;197012;0,585
4007;238276;6701864;197101;0,761
4007;238276;6701864;197102;0,97
4007;238276;6701864;197103;1,053
4007;238276;6701864;197104;1,017
4007;238276;6701864;197105;0,816
4007;238276;6701864;197106;0,602
4007;238276;6701864;197107;0,41
4007;238276;6701864;197108;0,324
4007;238276;6701864;197109;0,272
4007;238276;6701864;197110;0,271
4007;238276;6701864;197111;0,273
4007;238276;6701864;197112;0,377
4007;238276;6701864;197201;0,542
4007;238276;6701864;197202;0,821
4007;238276;6701864;197203;1,019
4007;238276;6701864;197204;1,049
4007;238276;6701864;197205;0,884
4007;238276;6701864;197206;0,666
4007;238276;6701864;197207;0,485
4007;238276;6701864;197208;0,351
4007;238276;6701864;197209;0,276
4007;238276;6701864;197210;0,284
4007;238276;6701864;197211;0,458
4007;238276;6701864;197212;0,737
4007;238276;6701864;197301;0,993
4007;238276;6701864;197302;1,094
4007;238276;6701864;197303;1,015
4007;238276;6701864;197304;0,843
4007;238276;6701864;197305;0,673
4007;238276;6701864;197306;0,505
4007;238276;6701864;197307;0,427
4007;238276;6701864;197308;0,319
4007;238276;6701864;197309;0,296
4007;238276;6701864;197310;0,344
4007;238276;6701864;197311;0,425
4007;238276;6701864;197312;0,561
4007;238276;6701864;197401;0,726
4007;238276;6701864;197402;0,987
4007;238276;6701864;197403;1,142
4007;238276;6701864;197404;1,125
4007;238276;6701864;197405;0,911
4007;238276;6701864;197406;0,632
